idx,elapsed_ns,position_counts
911,368335,-147
912,345345,-147
913,367751,-147
914,368278,-147
915,363041,-147
916,375915,-147
917,385684,-147
918,365849,-147
919,348511,-147
920,386465,-147
921,366776,-147
922,347302,-147
923,365525,-147
924,390915,-147
925,345973,-147
926,365086,-147
927,394786,-147
928,384001,-147
929,366004,-147
930,394810,-147
931,362242,-147
932,369774,-147
933,345705,-147
934,346260,-147
935,348661,-147
936,367215,-147
937,366473,-147
938,375262,-147
939,386734,-147
940,367879,-147
941,387551,-147
942,346561,-147
943,369330,-147
944,386767,-147
945,342363,-147
946,384103,-147
947,379744,-147
948,384866,-147
949,370100,-147
950,345452,-147
951,348443,-147
952,368483,-147
953,386517,-147
954,368164,-147
955,344196,-147
956,349017,-147
957,365939,-147
958,387482,-147
959,349856,-147
960,365034,-147
961,388971,-147
962,347731,-147
963,367051,-147
964,392894,-147
965,342215,-147
966,368767,-147
967,391861,-147
968,343853,-148
969,368202,-147
970,394578,-147
971,386486,-147
972,369392,-147
973,365548,-147
974,387647,-147
975,348306,-147
976,382901,-147
977,369528,-147
978,378660,-147
979,345559,-147
980,374644,-147
981,384987,-147
982,364563,-147
983,352869,-147
984,364475,-147
985,344268,-147
986,393351,-147
987,362809,-147
988,371431,-147
989,367717,-147
990,343002,-147
991,351945,-147
992,363582,-147
993,345806,-147
994,370322,-147
995,386145,-147
996,367065,-147
997,363924,-147
998,377755,-147
999,389371,-147
1000,385983,-147
1001,367447,-147
1002,361918,-147
1003,382375,-147
1004,346702,-147
1005,352757,-147
1006,360567,-147
1007,351780,-147
1008,366353,-147
1009,384665,-147
1010,390826,-147
1011,366249,-147
1012,370063,-147
1013,384970,-147
1014,348835,-147
1015,389393,-147
1016,370114,-147
1017,401029,-147
1018,375553,-147
1019,385953,-147
1020,347949,-147
1021,385842,-147
1022,347506,-147
1023,368818,-147
1024,366152,-147
1025,385195,-147
1026,354720,-147
1027,387428,-147
1028,367617,-147
1029,381798,-147
1030,368664,-147
1031,384563,-147
1032,385190,-147
1033,371119,-147
1034,386997,-147
1035,380613,-147
1036,377663,-147
1037,408401,-147
1038,391564,-147
1039,387786,-147
1040,396540,-147
1041,381455,-147
1042,403895,-147
1043,351084,-147
1044,363775,-147
1045,387694,-147
1046,349510,-147
1047,365234,-147
1048,391127,-147
1049,366238,-147
1050,345713,-147
1051,390634,-147
1052,345750,-147
1053,365908,-147
1054,396992,-147
1055,384478,-147
1056,389348,-147
1057,389002,-147
1058,391370,-147
1059,406048,-147
1060,385845,-147
1061,369280,-147
1062,391484,-147
1063,365480,-147
1064,390283,-147
1065,371742,-147
1066,401379,-147
1067,408114,-147
1068,350960,-147
1069,389173,-147
1070,384490,-147
1071,346770,-147
1072,370834,-147
1073,386149,-147
1074,384376,-147
1075,373228,-147
1076,346050,-147
1077,347233,-147
1078,366249,-147
1079,348470,-147
1080,366934,-147
1081,346045,-147
1082,386594,-147
1083,370913,-147
1084,345374,-147
1085,371106,-147
1086,386282,-147
1087,347071,-147
1088,371791,-147
1089,386727,-147
1090,348853,-147
1091,385946,-147
1092,368255,-147
1093,389146,-147
1094,385875,-147
1095,367454,-147
1096,354574,-147
1097,344681,-147
1098,351907,-147
1099,388739,-147
1100,363394,-147
1101,372058,-147
1102,384627,-147
1103,346084,-147
1104,392030,-147
1105,361166,-147
1106,349270,-147
1107,346290,-147
1108,344353,-147
1109,370577,-147
1110,387811,-147
1111,348997,-147
1112,371209,-147
1113,386346,-147
1114,369142,-147
1115,386257,-147
1116,365592,-147
1117,349574,-147
1118,388324,-147
1119,363663,-147
1120,393306,-147
1121,386145,-147
1122,347428,-147
1123,387975,-147
1124,347837,-147
1125,387791,-147
1126,347731,-148
1127,395413,-147
1128,382605,-147
1129,387679,-148
1130,388736,-147
1131,367394,-147
1132,387358,-147
1133,393453,-147
1134,362653,-147
1135,348562,-147
1136,366325,-147
1137,345900,-147
1138,347790,-147
1139,365931,-147
1140,368768,-147
1141,373150,-147
1142,387262,-147
1143,390239,-147
1144,364866,-147
1145,366708,-147
1146,370788,-147
1147,383287,-147
1148,347962,-148
1149,390582,-147
1150,364967,-147
1151,352707,-147
1152,405888,-147
1153,345116,-147
1154,350605,-147
1155,386005,-147
1156,345707,-147
1157,372597,-147
1158,383952,-147
1159,369090,-147
1160,387011,-147
1161,367471,-147
1162,349465,-147
1163,386450,-147
1164,380153,-147
1165,381325,-147
1166,405890,-147
1167,390062,-147
1168,388266,-147
1169,397958,-147
1170,377859,-147
1171,410252,-147
1172,389341,-147
1173,386689,-147
1174,369857,-147
1175,358053,-147
1176,387772,-147
1177,371448,-147
1178,386367,-147
1179,383036,-147
1180,372560,-147
1181,387608,-147
1182,367533,-147
1183,384156,-147
1184,348277,-147
1185,371921,-147
1186,384180,-147
1187,346928,-147
1188,368522,-147
1189,386867,-147
1190,369712,-147
1191,386786,-147
1192,346884,-147
1193,369389,-147
1194,386915,-147
1195,347031,-147
1196,369355,-147
1197,364686,-147
1198,362618,-147
1199,373296,-147
1200,346512,-147
1201,348531,-147
1202,368217,-147
1203,387887,-147
1204,368382,-147
1205,387290,-147
1206,391519,-147
1207,383358,-147
1208,346556,-147
1209,352725,-147
1210,386910,-147
1211,395712,-147
1212,380213,-147
1213,386043,-147
1214,373877,-147
1215,383798,-147
1216,345729,-147
1217,371854,-147
1218,384178,-147
1219,351375,-147
1220,385629,-147
1221,366145,-147
1222,349136,-147
1223,386652,-147
1224,366752,-147
1225,348749,-147
1226,367504,-147
1227,381311,-147
1228,355639,-147
1229,386304,-147
1230,369642,-147
1231,388699,-147
1232,344686,-147
1233,368890,-147
1234,347833,-147
1235,372780,-147
1236,385694,-147
1237,394866,-147
1238,367449,-147
1239,382308,-147
1240,402442,-147
1241,356256,-147
1242,366914,-147
1243,390761,-147
1244,402790,-147
1245,367819,-147
1246,347514,-147
1247,387004,-147
1248,352677,-147
1249,362368,-147
1250,389306,-147
1251,348143,-147
1252,365210,-147
1253,391327,-147
1254,367905,-147
1255,386382,-147
1256,364308,-147
1257,352795,-147
1258,343579,-147
1259,372890,-147
1260,364272,-147
1261,366385,-147
1262,370774,-147
1263,385936,-147
1264,355726,-147
1265,381400,-147
1266,344168,-147
1267,371199,-147
1268,386483,-147
1269,346033,-147
1270,374565,-147
1271,386886,-147
1272,368344,-147
1273,387999,-147
1274,365404,-147
1275,348804,-147
1276,415259,-147
1277,400832,-147
1278,394358,-147
1279,380219,-147
1280,368334,-147
1281,347040,-147
1282,366239,-147
1283,390652,-147
1284,346226,-147
1285,383538,-147
1286,355903,-147
1287,386053,-147
1288,348642,-147
1289,392991,-147
1290,389308,-147
1291,409776,-147
1292,361287,-147
1293,369445,-147
1294,368463,-147
1295,368223,-147
1296,389120,-147
1297,382077,-147
1298,370947,-147
1299,384775,-147
1300,367934,-147
1301,387694,-147
1302,344791,-147
1303,370650,-147
1304,347712,-147
1305,365468,-148
1306,391717,-147
1307,366090,-147
1308,345820,-147
1309,390694,-147
1310,365986,-147
1311,347252,-147
1312,390257,-147
1313,351006,-147
1314,408202,-147
1315,408381,-147
1316,390075,-147
1317,406585,-147
1318,386538,-148
1319,391012,-147
1320,386535,-147
1321,390458,-147
1322,407288,-147
1323,388619,-148
1324,390984,-148
1325,387111,-148
1326,392882,-148
1327,406275,-148
1328,401936,-148
1329,352458,-147
1330,392004,-147
1331,364186,-147
1332,348309,-147
1333,386263,-147
1334,345617,-147
1335,373213,-147
1336,383148,-148
1337,370079,-148
1338,387860,-147
1339,345145,-147
1340,369384,-147
1341,346588,-147
1342,347007,-147
1343,389160,-147
1344,384442,-147
1345,373483,-147
1346,392030,-147
1347,392310,-147
1348,387757,-147
1349,360499,-147
1350,390824,-148
1351,365143,-147
1352,393238,-147
1353,364582,-147
1354,363830,-147
1355,369433,-147
1356,386138,-147
1357,368179,-147
1358,366109,-147
1359,387042,-147
1360,381906,-147
1361,355876,-147
1362,370999,-148
1363,393630,-148
1364,396600,-147
1365,389158,-147
1366,370446,-147
1367,390167,-147
1368,373939,-147
1369,381356,-147
1370,359828,-147
1371,397936,-147
1372,400227,-147
1373,386608,-147
1374,410683,-147
1375,383202,-147
1376,388661,-147
1377,371023,-147
1378,388877,-147
1379,391231,-147
1380,384304,-147
1381,365198,-147
1382,391583,-147
1383,369824,-147
1384,385272,-147
1385,385215,-147
1386,392504,-147
1387,363710,-147
1388,379288,-147
1389,369293,-147
1390,388152,-147
1391,367994,-147
1392,358176,-147
1393,388086,-147
1394,366345,-147
1395,396004,-147
1396,385292,-147
1397,389657,-147
1398,362939,-147
1399,386012,-147
1400,369744,-147
1401,385977,-147
1402,394017,-147
1403,362932,-147
1404,393048,-147
1405,379003,-147
1406,395724,-147
1407,367543,-147
1408,385577,-147
1409,399951,-147
1410,375373,-148
1411,385205,-148
1412,386234,-147
1413,366819,-147
1414,368697,-147
1415,386895,-147
1416,352369,-147
1417,391044,-147
1418,363090,-147
1419,382439,-147
1420,372570,-147
1421,398611,-148
1422,385127,-148
1423,373410,-147
1424,395929,-147
1425,418505,-147
1426,374755,-147
1427,385784,-147
1428,372257,-147
1429,380916,-147
1430,363221,-147
1431,371832,-147
1432,405322,-147
1433,388678,-147
1434,365952,-148
1435,342656,-148
1436,398546,-147
1437,339981,-147
