trial_id,config,direction,target_counts,home_counts,t_cmd_ns,t_react_ns,t_engage_ns,t_complete_ns,reaction_us,motion_us,settle_us,total_us,final_pos_counts,final_error_counts
76,100um_pos,1,603026,583026,2922631840448830,2922631841187717,2922631857760785,2922631893946118,738.887,16573.068,36185.333,53497.288,603026,0
77,100um_pos,1,603026,583026,2922631972549562,2922631973275302,2922631982670692,2922632022672415,725.74,9395.39,40001.723,50122.853,603028,2
78,100um_pos,1,603026,583026,2922632102445675,2922632103168579,2922632112322446,2922632150362482,722.904,9153.867,38040.036,47916.807,603027,1
79,100um_pos,1,603026,583026,2922632229863942,2922632230603165,2922632239858102,2922632278739089,739.223,9254.937,38880.987,48875.147,603027,1
80,100um_pos,1,603026,583026,2922632355925060,2922632356667029,2922632373193326,2922632407692877,741.969,16526.297,34499.551,51767.817,603027,1
81,100um_pos,1,603025,583025,2922632482950036,2922632483641186,2922632492840506,2922632531097861,691.15,9199.32,38257.355,48147.825,603026,1
82,100um_pos,1,603027,583027,2922632610489658,2922632611591323,2922632620486116,2922632657983450,1101.665,8894.793,37497.334,47493.792,603029,2
83,100um_pos,1,603025,583025,2922632734199639,2922632734934581,2922632751588845,2922632783589979,734.942,16654.264,32001.134,49390.34,603027,2
84,100um_pos,1,603026,583026,2922632860061383,2922632860791789,2922632870137275,2922632911387377,730.406,9345.486,41250.102,51325.994,603027,1
85,100um_pos,1,603027,583027,2922632988267641,2922632988984090,2922633005358114,2922633039058257,716.449,16374.024,33700.143,50790.616,603029,2
86,100um_pos,1,603027,583027,2922633115203146,2922633115917513,2922633125136317,2922633165658719,714.367,9218.804,40522.402,50455.573,603028,1
87,100um_pos,1,603026,583026,2922633244222133,2922633244938354,2922633261301242,2922633289984275,716.221,16362.888,28683.033,45762.142,603027,1
88,100um_pos,1,603027,583027,2922633368591885,2922633369718155,2922633385777256,2922633418036176,1126.27,16059.101,32258.92,49444.291,603030,3
89,100um_pos,1,603026,583026,2922633495450394,2922633496187550,2922633512486614,2922633545285492,737.156,16299.064,32798.878,49835.098,603026,0
90,100um_pos,1,603026,583026,2922633621108986,2922633621838586,2922633637945478,2922633669142180,729.6,16106.892,31196.702,48033.194,603028,2
91,100um_pos,1,603026,583026,2922633748241872,2922633749322385,2922633765342700,2922633796296397,1080.513,16020.315,30953.697,48054.525,603027,1
92,100um_pos,1,603027,583027,2922633874094004,2922633874833698,2922633891532547,2922633921632714,739.694,16698.849,30100.167,47538.71,603029,2
93,100um_pos,1,603024,583024,2922633993943243,2922633994666202,2922634003985650,2922634043259211,722.959,9319.448,39273.561,49315.968,603025,1
94,100um_pos,1,603026,583026,2922634124742662,2922634125781895,2922634134741453,2922634172669278,1039.233,8959.558,37927.825,47926.616,603027,1
95,100um_pos,1,603025,583025,2922634249224360,2922634249919073,2922634258907799,2922634297945010,694.713,8988.726,39037.211,48720.65,603027,2
96,100um_pos,1,603026,583026,2922634370430051,2922634371510498,2922634380169513,2922634422140305,1080.447,8659.015,41970.792,51710.254,603028,2
97,100um_pos,1,603026,583026,2922634498182043,2922634498892061,2922634508172613,2922634547175214,710.018,9280.552,39002.601,48993.171,603027,1
98,100um_pos,1,603027,583027,2922634626179949,2922634627258831,2922634635985321,2922634672462167,1078.882,8726.49,36476.846,46282.218,603029,2
99,100um_pos,1,603027,583027,2922634747675027,2922634748391127,2922634757480764,2922634800543127,716.1,9089.637,43062.363,52868.1,603027,0
100,100um_neg,-1,563026,583026,2922634876796848,2922634877880633,2922634886668141,2922634928962265,1083.785,8787.508,42294.124,52165.417,563025,1
101,100um_neg,-1,563030,583030,2922635004799175,2922635005884797,2922635014818526,2922635052589975,1085.622,8933.729,37771.449,47790.8,563030,0
102,100um_neg,-1,563029,583029,2922635128198158,2922635128912679,2922635137982244,2922635176216208,714.521,9069.565,38233.964,48018.05,563028,1
103,100um_neg,-1,563030,583030,2922635256548145,2922635257290582,2922635266630459,2922635301460947,742.437,9339.877,34830.488,44912.802,563029,1
104,100um_neg,-1,563030,583030,2922635384445796,2922635385145127,2922635394548618,2922635431193484,699.331,9403.491,36644.866,46747.688,563028,2
105,100um_neg,-1,563030,583030,2922635507799123,2922635508515453,2922635524606639,2922635553020839,716.33,16091.186,28414.2,45221.716,563028,2
106,100um_neg,-1,563030,583030,2922635636675369,2922635637416453,2922635653534194,2922635682528281,741.084,16117.741,28994.087,45852.912,563029,1
107,100um_neg,-1,563031,583031,2922635760468196,2922635761187708,2922635770461975,2922635805777747,719.512,9274.267,35315.772,45309.551,563031,0
108,100um_neg,-1,563029,583029,2922635887553351,2922635888636379,2922635897736225,2922635933256970,1083.028,9099.846,35520.745,45703.619,563028,1
109,100um_neg,-1,563029,583029,2922636016639360,2922636017718120,2922636033487893,2922636061078478,1078.76,15769.773,27590.585,44439.118,563027,2
110,100um_neg,-1,563031,583031,2922636138317092,2922636139029025,2922636148424118,2922636182445322,711.933,9395.093,34021.204,44128.23,563029,2
111,100um_neg,-1,563030,583030,2922636274321708,2922636275050817,2922636284437702,2922636319319582,729.109,9386.885,34881.88,44997.874,563029,1
112,100um_neg,-1,563031,583031,2922636399547635,2922636400290527,2922636409697905,2922636445668493,742.892,9407.378,35970.588,46120.858,563029,2
113,100um_neg,-1,563029,583029,2922636533923900,2922636534639391,2922636550654112,2922636577257640,715.491,16014.721,26603.528,43333.74,563028,1
114,100um_neg,-1,563030,583030,2922636656570923,2922636657311846,2922636666712372,2922636701576154,740.923,9400.526,34863.782,45005.231,563028,2
115,100um_neg,-1,563031,583031,2922636779568985,2922636780291968,2922636796564196,2922636826314905,722.983,16272.228,29750.709,46745.92,563029,2
116,100um_neg,-1,563030,583030,2922636904069156,2922636904810073,2922636921069522,2922636951441707,740.917,16259.449,30372.185,47372.551,563028,2
117,100um_neg,-1,563030,583030,2922637034133723,2922637034829589,2922637044172279,2922637078462457,695.866,9342.69,34290.178,44328.734,563028,2
118,100um_neg,-1,563031,583031,2922637158058401,2922637158809707,2922637168212064,2922637204281580,751.306,9402.357,36069.516,46223.179,563029,2
119,100um_neg,-1,563030,583030,2922637283441255,2922637284164687,2922637293505496,2922637328691840,723.432,9340.809,35186.344,45250.585,563029,1
120,100um_neg,-1,563030,583030,2922637404590453,2922637405310408,2922637414689450,2922637451419655,719.955,9379.042,36730.205,46829.202,563029,1
121,100um_neg,-1,563030,583030,2922637531669767,2922637532435146,2922637541713534,2922637574651594,765.379,9278.388,32938.06,42981.827,563028,2
122,100um_neg,-1,563030,583030,2922637655671706,2922637656391220,2922637665520727,2922637700011828,719.514,9129.507,34491.101,44340.122,563028,2
123,100um_neg,-1,563030,583030,2922637782054013,2922637782806157,2922637792069083,2922637825794890,752.144,9262.926,33725.807,43740.877,563029,1
124,100um_neg,-1,563030,583030,2922637903059567,2922637903785606,2922637913108352,2922637949442706,726.039,9322.746,36334.354,46383.139,563029,1
125,100um_neg,-1,563030,583030,2922638028107041,2922638028834344,2922638038281857,2922638074443106,727.303,9447.513,36161.249,46336.065,563028,2
126,100um_neg,-1,563031,583031,2922638159359230,2922638160080566,2922638169318271,2922638199630425,721.336,9237.705,30312.154,40271.195,563029,2
127,100um_neg,-1,563030,583030,2922638280814734,2922638281538754,2922638297876641,2922638323606277,724.02,16337.887,25729.636,42791.543,563028,2
128,100um_neg,-1,563029,583029,2922638403964387,2922638404687261,2922638413937709,2922638445476171,722.874,9250.448,31538.462,41511.784,563027,2
129,100um_neg,-1,563031,583031,2922638525421028,2922638526142751,2922638535255037,2922638567483712,721.723,9112.286,32228.675,42062.684,563029,2
130,100um_neg,-1,563030,583030,2922638645694592,2922638646410435,2922638655564255,2922638688170880,715.843,9153.82,32606.625,42476.288,563028,2
131,100um_neg,-1,563029,583029,2922638776079393,2922638776807297,2922638785961110,2922638818461238,727.904,9153.813,32500.128,42381.845,563027,2
132,100um_neg,-1,563029,583029,2922638900676014,2922638901797294,2922638918075578,2922638938857861,1121.28,16278.284,20782.283,38181.847,563028,1
133,100um_neg,-1,563030,583030,2922639019346166,2922639020062321,2922639029322128,2922639062054972,716.155,9259.807,32732.844,42708.806,563029,1
134,100um_neg,-1,563030,583030,2922639144323472,2922639145043699,2922639154337992,2922639183938071,720.227,9294.293,29600.079,39614.599,563028,2
135,100um_neg,-1,563030,583030,2922639264592855,2922639265351763,2922639274734632,2922639306757963,758.908,9382.869,32023.331,42165.108,563029,1
136,100um_neg,-1,563031,583031,2922639389321865,2922639390048159,2922639399407107,2922639430693449,726.294,9358.948,31286.342,41371.584,563029,2
137,100um_neg,-1,563030,583030,2922639510804569,2922639511798910,2922639520830198,2922639554069396,994.341,9031.288,33239.198,43264.827,563028,2
138,100um_neg,-1,563030,583030,2922639630690918,2922639631450065,2922639640407072,2922639674232676,759.147,8957.007,33825.604,43541.758,563027,3
