idx,set_ns,update_ns,total_ns
496,391598,353486,745084
497,408282,354050,762332
498,349467,384460,733927
499,378694,351895,730589
500,377609,345681,723290
501,389161,356623,745784
502,410385,343251,753636
503,375754,349025,724779
504,361753,365082,726835
505,393442,369027,762469
506,389079,359707,748786
507,402831,350692,753523
508,372660,348529,721189
509,354580,354936,709516
510,383462,330088,713550
511,392974,349799,742773
512,349780,329710,679490
513,374669,369909,744578
514,409495,352229,761724
515,396923,346410,743333
516,379940,367856,747796
517,387401,355589,742990
518,387582,328356,715938
519,354379,349758,704137
520,400858,344121,744979
521,382901,336894,719795
522,387213,330394,717607
523,354007,347785,701792
524,388007,353689,741696
525,410647,343546,754193
526,378241,352218,730459
527,372232,334388,706620
528,363775,353344,717119
529,348697,351616,700313
530,376459,348567,725026
531,392797,370496,763293
532,369726,352520,722246
533,386983,351346,738329
534,359855,344189,704044
535,399564,362285,761849
536,387794,343138,730932
537,359973,330139,690112
538,355205,346773,701978
539,388863,354255,743118
540,388614,361550,750164
541,382023,350688,732711
542,372961,349312,722273
543,350348,353369,703717
544,409178,367814,776992
545,399891,366363,766254
546,397608,349673,747281
547,388597,354593,743190
548,407744,370108,777852
549,356994,348415,705409
550,393169,371673,764842
551,385637,336418,722055
552,387965,359612,747577
553,381602,352007,733609
554,357688,369379,727067
555,368817,355770,724587
556,384069,330416,714485
557,390836,352934,743770
558,349455,350156,699611
559,369442,361119,730561
560,385591,351464,737055
561,412231,332768,744999
562,390387,370096,760483
563,366730,378128,744858
564,402968,333527,736495
565,370022,350373,720395
566,366966,355934,722900
567,370632,332440,703072
568,388145,330546,718691
569,350898,349300,700198
570,354691,356731,711422
571,382212,331653,713865
572,394955,347371,742326
573,351754,330077,681831
574,347913,361093,709006
575,386891,354309,741200
576,388264,331770,720034
577,400499,364152,764651
578,387444,336886,724330
579,386282,346841,733123
580,354746,371379,726125
581,385742,375296,761038
582,387720,356848,744568
583,386879,330174,717053
584,351945,349257,701202
585,353381,353799,707180
586,363631,351613,715244
587,395257,332173,727430
588,389823,348783,738606
589,348759,376578,725337
590,385419,352874,738293
591,374220,370036,744256
592,395322,347208,742530
593,389956,335312,725268
594,386064,352774,738838
595,390598,371889,762487
596,395110,368218,763328
597,386843,337824,724667
598,384824,351386,736210
599,373040,348713,721753
600,407934,354579,762513
601,368566,375611,744177
602,387874,331015,718889
603,351358,351817,703175
604,347970,355188,703158
605,386251,349813,736064
606,379624,347909,727533
607,392308,371697,764005
608,385166,376085,761251
609,409403,358024,767427
610,410579,366786,777365
611,375288,371812,747100
612,398567,363875,762442
613,387715,355773,743488
614,426030,393773,819803
615,404518,369383,773901
616,370771,349426,720197
617,369009,352681,721690
618,364303,331796,696099
619,367926,330858,698784
620,349303,336786,686089
621,348379,324017,672396
622,339708,311340,651048
623,371441,348401,719842
624,333648,336004,669652
625,388543,350494,739037
626,372554,349196,721750
627,398266,354763,753029
628,386353,359186,745539
629,384894,331053,715947
630,372551,348828,721379
631,354168,347981,702149
632,372895,349992,722887
633,391864,328635,720499
634,371504,351942,723446
635,366762,377642,744404
636,388046,357113,745159
637,390260,370349,760609
638,413569,350874,764443
639,386646,337705,724351
640,386507,348150,734657
641,412551,351952,764503
642,394735,367936,762671
643,370952,355792,726744
644,385911,350406,736317
645,413074,351370,764444
646,349296,330025,679321
647,369369,373178,742547
648,369205,352584,721789
649,393043,369828,762871
650,402724,336437,739161
651,368218,361616,729834
652,385366,373482,758848
653,388687,351314,740001
654,381890,362069,743959
655,365968,380249,746217
656,386441,348228,734669
657,375600,349322,724922
658,361505,344686,706191
659,406796,334402,741198
660,386718,350662,737380
661,358587,346334,704921
662,365442,345004,710446
663,346174,365264,711438
664,377707,330197,707904
665,354531,349932,704463
666,367674,331630,699304
667,376744,350427,727171
668,421084,348788,769872
669,3424869,441741,3866610
670,398564,316723,715287
671,352400,288645,641045
672,326796,309291,636087
673,306622,295466,602088
674,346934,309547,656481
675,331972,289598,621570
676,354678,286145,640823
677,333617,286964,620581
678,330066,291350,621416
679,357496,303960,661456
680,328632,314427,643059
681,329355,292543,621898
682,351931,316770,668701
683,321957,287869,609826
684,332577,317056,649633
685,305564,310953,616517
686,329730,290486,620216
687,330121,310637,640758
688,343257,520451,863708
689,323007,304260,627267
690,335652,280052,615704
691,395539,368306,763845
692,434965,379476,814441
693,684819,508813,1193632
694,466587,388659,855246
695,468980,409045,878025
696,413450,366463,779913
697,502936,416444,919380
698,438275,389588,827863
699,412052,426225,838277
700,474649,407818,882467
701,453134,431275,884409
702,419059,356533,775592
703,381940,375363,757303
704,398318,360564,758882
705,328046,282468,610514
706,306756,274020,580776
707,304999,344378,649377
708,308507,308723,617230
709,310277,311445,621722
710,303801,275889,579690
711,332376,309026,641402
712,333747,290442,624189
713,327189,315714,642903
714,349113,310709,659822
715,331571,295012,626583
716,309670,291533,601203
717,350326,312767,663093
718,351354,314695,666049
719,346833,314658,661491
720,349985,314374,664359
721,350491,315768,666259
722,364426,313340,677766
723,375447,371306,746753
724,390715,354743,745458
725,367554,377268,744822
726,388754,349531,738285
727,373120,349041,722161
728,356741,345744,702485
729,346843,425227,772070
730,431296,376905,808201
731,400173,348015,748188
732,391735,368133,759868
733,368803,334957,703760
734,406580,350930,757510
735,392004,328143,720147
736,369248,349978,719226
737,368002,383543,751545
738,383535,327800,711335
739,401750,371680,773430
740,392814,346327,739141
741,385800,373070,758870
742,386312,327678,713990
743,376471,369614,746085
744,385529,337545,723074
745,387091,377926,765017
746,385910,349218,735128
747,372671,348458,721129
748,363850,343714,707564
749,383903,339405,723308
750,389296,371455,760751
751,384429,351502,735931
752,346538,380287,726825
753,386815,354059,740874
754,386979,331340,718319
755,358615,348643,707258
756,381622,355842,737464
757,387977,357588,745565
758,380890,352194,733084
759,361420,367218,728638
760,392831,364346,757177
761,347533,349942,697475
762,381142,415413,796555
763,391325,328022,719347
764,353195,349488,702683
765,367104,358290,725394
766,391575,348624,740199
767,396147,367715,763862
768,408463,348502,756965
769,346701,331287,677988
770,379468,368517,747985
771,397483,367534,765017
772,385803,351713,737516
773,387006,328373,715379
774,354260,368463,722723
775,400365,349727,750092
776,385333,370588,755921
777,370630,328600,699230
778,420474,347660,768134
779,383900,351327,735227
780,368104,375528,743632
781,389546,329317,718863
782,377566,367606,745172
783,361813,344960,706773
784,365329,353875,719204
785,386504,329299,715803
786,374587,330546,705133
787,388787,350674,739461
788,349225,328713,677938
789,390036,351995,742031
790,355796,365787,721583
791,348515,354261,702776
792,347923,329855,677778
793,371898,329601,701499
794,389953,352997,742950
795,366758,361946,728704
796,380709,351021,731730
797,362600,367160,729760
798,382096,338678,720774
799,387972,348825,736797
800,428535,344013,772548
801,375799,329661,705460
802,367251,335538,702789
803,386444,328269,714713
804,396017,351161,747178
805,391142,351881,743023
806,384547,356194,740741
807,388432,349606,738038
808,372522,349227,721749
809,357874,364280,722154
810,368474,334090,702564
811,387757,354905,742662
812,375642,348048,723690
813,388138,375757,763895
814,389334,333801,723135
815,387269,351505,738774
816,350537,348919,699456
817,356597,372418,729015
818,383753,346488,730241
819,356663,329994,686657
820,389218,329713,718931
821,369066,373923,742989
822,409229,354182,763411
823,390624,330802,721426
824,387082,354708,741790
825,369180,353787,722967
826,347748,352433,700181
827,355676,344952,700628
828,349103,353729,702832
829,409350,342437,751787
830,378163,351663,729826
831,353075,348502,701577
832,388725,335448,724173
833,387128,330752,717880
834,390664,352154,742818
835,368531,353439,721970
836,387499,354610,742109
837,388822,329987,718809
838,355020,351471,706491
839,396793,368352,765145
840,387657,369952,757609
841,353712,409189,762901
842,393663,330752,724415
843,400562,358717,759279
844,368665,375163,743828
845,389168,330788,719956
846,355953,350596,706549
847,406780,354661,761441
848,391561,370346,761907
849,387244,353671,740915
850,369339,356140,725479
851,398857,358690,757547
852,353770,353391,707161
853,384838,331827,716665
854,350170,349570,699740
855,390363,332811,723174
856,388204,374408,762612
857,372543,348572,721115
858,374572,369024,743596
859,389317,351909,741226
860,386663,363687,750350
861,380330,349424,729754
862,354895,351949,706844
863,385200,336338,721538
864,385126,352553,737679
865,394613,328707,723320
866,389966,352908,742874
867,387489,331756,719245
868,389741,330213,719954
869,372905,335944,708849
870,394132,346525,740657
871,364900,357530,722430
872,386577,329763,716340
873,372505,330111,702616
874,387776,353064,740840
875,409433,364640,774073
876,359420,351284,710704
877,392082,349613,741695
878,410132,333517,743649
879,387811,364572,752383
880,378692,351455,730147
881,377717,364276,741993
882,371290,335717,707007
883,384372,362892,747264
884,402591,354398,756989
885,365760,351758,717518
886,347662,359023,706685
887,406589,352939,759528
888,412075,351968,764043
889,391661,329545,721206
890,387674,356344,744018
891,387308,332075,719383
892,394598,366540,761138
893,392369,351491,743860
894,408530,353678,762208
895,388226,331048,719274
896,392588,350051,742639
897,350246,352123,702369
898,367556,354076,721632
899,354589,364540,719129
900,352551,351107,703658
901,370091,355660,725751
902,388330,356493,744823
903,383697,331633,715330
904,393744,331389,725133
905,388839,349597,738436
906,355138,376906,732044
907,379718,357611,737329
908,391384,365330,756714
909,356022,372111,728133
910,388420,379887,768307
911,380750,349867,730617
912,374327,355358,729685
913,389975,368265,758240
914,354511,363541,718052
915,375270,330125,705395
916,364310,337218,701528
917,391562,334037,725599
918,386253,352040,738293
919,392009,371805,763814
920,391293,351114,742407
921,367111,356291,723402
922,389048,350602,739650
923,374139,333642,707781
924,372542,363396,735938
925,389265,332951,722216
926,388863,351562,740425
927,350769,330520,681289
928,388313,352333,740646
929,355441,359097,714538
930,356962,351529,708491
931,361915,338423,700338
932,373219,351099,724318
933,386368,351228,737596
934,373954,356740,730694
935,395103,380009,775112
936,369877,380678,750555
937,2039291,2736050,4775341
938,480851,372531,853382
939,439533,446408,885941
940,457340,429800,887140
941,450610,433252,883862
942,452108,338380,790488
943,336864,335572,672436
944,440647,411876,852523
945,454097,407456,861553
946,469015,445077,914092
947,410132,358605,768737
948,446220,460374,906594
949,390120,339731,729851
950,381054,326398,707452
951,352061,347560,699621
952,368797,339898,708695
953,341943,337773,679716
954,360087,346330,706417
955,390986,371869,762855
956,388439,332881,721320
957,370165,324939,695104
958,355382,350683,706065
959,347305,354212,701517
960,388725,363400,752125
961,378965,349575,728540
962,357614,343983,701597
963,348721,355226,703947
964,368368,351020,719388
965,393772,330043,723815
966,379283,360496,739779
967,354457,329312,683769
968,385147,354160,739307
969,356156,375558,731714
970,385840,351040,736880
971,386968,333376,720344
972,384958,351249,736207
973,374658,346438,721096
974,348270,360175,708445
975,345743,330560,676303
976,373377,370209,743586
977,371649,367667,739316
978,369212,356415,725627
979,350549,325260,675809
980,397483,348694,746177
981,346364,355269,701633
982,368032,360025,728057
