idx,elapsed_ns,position_counts
305,370897,-123
306,362958,-123
307,382634,-123
308,388141,-123
309,385112,-123
310,387312,-123
311,369923,-123
312,389314,-123
313,397686,-123
314,380494,-123
315,408452,-123
316,389654,-123
317,386713,-123
318,400816,-123
319,380168,-123
320,403349,-123
321,349978,-123
322,386840,-123
323,368114,-123
324,411079,-123
325,345385,-123
326,353525,-123
327,382639,-123
328,366777,-123
329,371900,-123
330,386023,-123
331,345632,-123
332,404007,-123
333,354449,-123
334,369681,-123
335,385967,-123
336,346577,-123
337,354022,-123
338,384623,-123
339,379684,-123
340,379862,-123
341,385051,-123
342,389968,-123
343,388235,-123
344,384824,-123
345,370374,-123
346,365534,-123
347,352312,-123
348,386611,-123
349,385711,-123
350,372013,-123
351,407648,-122
352,386363,-122
353,366796,-122
354,388046,-122
355,349504,-122
356,366197,-122
357,387430,-123
358,389687,-123
359,368384,-123
360,370482,-123
361,386205,-122
362,346239,-122
363,371413,-123
364,388053,-123
365,398346,-123
366,361656,-123
367,383322,-123
368,411379,-123
369,387177,-123
370,397567,-123
371,381141,-124
372,384876,-123
373,354960,-123
374,367367,-123
375,387702,-123
376,405770,-123
377,387835,-123
378,390660,-123
379,386252,-123
380,390606,-123
381,404871,-123
382,409286,-123
383,370533,-123
384,386427,-124
385,345859,-124
386,349173,-124
387,386921,-124
388,379325,-124
389,406301,-124
390,382232,-124
391,390639,-124
392,365333,-124
393,388754,-123
394,392054,-123
395,362537,-123
396,382626,-123
397,377377,-123
398,385176,-123
399,376241,-123
400,401593,-123
401,359020,-123
402,354963,-123
403,387600,-124
404,352985,-124
405,385991,-124
406,386808,-123
407,393890,-123
408,384395,-123
409,348244,-123
410,366689,-123
411,345300,-123
412,373187,-123
413,388020,-123
414,397901,-123
415,383573,-123
416,382811,-124
417,390778,-124
418,407947,-123
419,398958,-123
420,380981,-123
421,362887,-123
422,353936,-123
423,362473,-123
424,388450,-123
425,410742,-123
426,388530,-123
427,391012,-123
428,387413,-123
429,389026,-123
430,408692,-123
431,386289,-123
432,369965,-123
433,386788,-123
434,345441,-123
435,381067,-123
436,377805,-123
437,398746,-123
438,383694,-123
439,383105,-123
440,368323,-123
441,386557,-123
442,347196,-123
443,372012,-123
444,385648,-123
445,362311,-123
446,373498,-123
447,366281,-123
448,351995,-123
449,388762,-123
450,366815,-123
451,391502,-123
452,386453,-123
453,390585,-123
454,385170,-123
455,346095,-123
456,371734,-123
457,390541,-123
458,407488,-123
459,386915,-123
460,398433,-123
461,360915,-123
462,366168,-123
463,394303,-123
464,383645,-122
465,383228,-122
466,392421,-123
467,407852,-123
468,344799,-123
469,392482,-123
470,366017,-123
471,390005,-123
472,385895,-123
473,368233,-123
474,348843,-123
475,386490,-123
476,378692,-123
477,379954,-123
478,387080,-122
479,350972,-123
480,386959,-123
481,389241,-123
482,368369,-123
483,387522,-123
484,369283,-123
485,386710,-123
486,348680,-123
487,388967,-123
488,370740,-123
489,377766,-123
490,372742,-122
491,350677,-122
492,373306,-123
493,384608,-123
494,405051,-123
495,390020,-123
496,364319,-123
497,350650,-123
498,408218,-123
499,346466,-123
500,371073,-123
501,386699,-123
502,344597,-123
503,395207,-123
504,382101,-123
505,371673,-123
506,385983,-123
507,388569,-123
508,391622,-123
509,386803,-123
510,390041,-123
511,389096,-123
512,383981,-123
513,369947,-123
514,348585,-122
515,395069,-123
516,402569,-123
517,357418,-123
518,390311,-123
519,388591,-123
520,387278,-123
521,386171,-123
522,384196,-123
523,371100,-123
524,388576,-123
525,397311,-123
526,377224,-123
527,346622,-123
528,349220,-123
529,386493,-123
530,347262,-123
531,376373,-123
532,383193,-123
533,396348,-124
534,379691,-124
535,389388,-123
536,388452,-123
537,386059,-123
538,378405,-123
539,401850,-123
540,405837,-124
541,358676,-124
542,379190,-124
543,367660,-124
544,389894,-124
545,365936,-124
546,348478,-123
547,387244,-123
548,387564,-123
549,370932,-123
550,386445,-123
551,378116,-123
552,382757,-123
553,383039,-124
554,391343,-124
555,386564,-123
556,346168,-123
557,372046,-123
558,385452,-123
559,370917,-123
560,386017,-123
561,345683,-123
562,372963,-123
563,398037,-123
564,388735,-123
565,384691,-123
566,381361,-123
567,411439,-124
568,386815,-124
569,397553,-124
570,382965,-124
571,381929,-123
572,371876,-123
573,388683,-123
