idx,set_ns,update_ns,total_ns
578,349654,373270,722924
579,388159,353275,741434
580,346195,344585,690780
581,360200,331952,692152
582,393351,328214,721565
583,370428,351742,722170
584,373553,325802,699355
585,392584,349054,741638
586,354395,350304,704699
587,346367,356858,703225
588,351791,371900,723691
589,392857,366847,759704
590,357541,343469,701010
591,349325,336972,686297
592,382347,354061,736408
593,348573,328605,677178
594,349395,355626,705021
595,344962,352504,697466
596,355418,348096,703514
597,346606,337852,684458
598,388202,352390,740592
599,369785,348389,718174
600,352371,352132,704503
601,346496,353725,700221
602,348545,348933,697478
603,357624,374070,731694
604,370457,324139,694596
605,370121,352272,722393
606,368921,332948,701869
607,353069,326464,679533
608,348141,336026,684167
609,348972,326607,675579
610,350776,354884,705660
611,365382,357591,722973
612,385956,362537,748493
613,404142,352792,756934
614,369234,352069,721303
615,347364,355166,702530
616,345049,356074,701123
617,369663,350981,720644
618,374930,347915,722845
619,352786,349043,701829
620,344338,352543,696881
621,351978,370331,722309
622,389486,356803,746289
623,365452,363491,728943
624,382802,348536,731338
625,373399,350150,723549
626,348571,356694,705265
627,345674,354883,700557
628,373022,349530,722552
629,363463,358658,722121
630,348247,352221,700468
631,346079,352178,698257
632,374913,351258,726171
633,351780,353462,705242
634,386786,330023,716809
635,392382,330731,723113
636,358384,339598,697982
637,351235,354777,706012
638,346624,351639,698263
639,350322,371400,721722
640,391971,329495,721466
641,369923,330579,700502
642,392581,353473,746054
643,349588,330929,680517
644,368355,354103,722458
645,370453,330072,700525
646,349314,329586,678900
647,369462,353525,722987
648,368209,375356,743565
649,391961,350130,742091
650,355615,352989,708604
651,384228,334046,718274
652,367811,328501,696312
653,392600,351621,744221
654,374554,347145,721699
655,352045,349234,701279
656,348780,329504,678284
657,375960,372648,748608
658,389035,333434,722469
659,391204,353984,745188
660,386318,330032,716350
661,373022,327994,701016
662,349797,355792,705589
663,388933,331057,719990
664,390874,349975,740849
665,352038,329741,681779
666,352350,354882,707232
667,383684,351772,735456
668,350406,328720,679126
669,391056,353163,744219
670,367791,364914,732705
671,378695,352509,731204
672,355884,370368,726252
673,390631,331374,722005
674,367473,332137,699610
675,348963,350070,699033
676,355811,364692,720503
677,348291,357540,705831
678,388010,329381,717391
679,352504,349856,702360
680,351725,353296,705021
681,387983,328613,716596
682,395377,348274,743651
683,349690,330957,680647
684,351811,351424,703235
685,347535,349871,697406
686,373603,349512,723115
687,389376,359883,749259
688,366314,358462,724776
689,383040,349848,732888
690,376676,368033,744709
691,368936,337250,706186
692,385031,351634,736665
693,395879,329463,725342
694,347520,353245,700765
695,369449,352593,722042
696,349547,349509,699056
697,350906,350110,701016
698,369197,357780,726977
699,385385,339619,725004
700,381341,352475,733816
701,356069,350189,706258
702,366717,356973,723690
703,387655,332175,719830
704,348209,350686,698895
705,365262,336387,701649
706,346261,356483,702744
707,368741,351784,720525
708,371782,349989,721771
709,345934,359983,705917
710,386819,329059,715878
711,394742,347591,742333
712,350515,329708,680223
713,368363,334389,702752
714,347554,333802,681356
715,347561,336345,683906
716,385893,357113,743006
717,364491,353627,718118
718,395324,327553,722877
719,350288,352166,702454
720,346952,355065,702017
721,367407,350559,717966
722,354539,351420,705959
723,368366,351538,719904
724,368597,333160,701757
725,379085,329912,708997
726,351624,348447,700071
727,392257,334398,726655
728,370742,326940,697682
729,351256,351046,702302
730,348165,374273,722438
731,389878,359229,749107
732,382478,335439,717917
733,393976,368005,761981
734,391978,350950,742928
735,368859,361846,730705
736,381306,350397,731703
737,353926,328715,682641
738,347889,358991,706880
739,387332,327973,715305
740,359496,349536,709032
741,394467,368803,763270
742,382868,356010,738878
743,347528,331502,679030
744,352594,348723,701317
745,368329,338799,707128
746,363072,333918,696990
747,369992,350706,720698
748,386791,337607,724398
749,351457,349197,700654
750,348758,352243,701001
751,372736,351941,724677
752,388178,332473,720651
753,375343,376199,751542
754,401361,351403,752764
755,372108,350385,722493
756,352881,332361,685242
757,367395,349849,717244
758,350072,374247,724319
759,390876,350280,741156
760,370715,352250,722965
761,351926,349246,701172
762,349681,330525,680206
763,369365,356474,725839
764,388324,363908,752232
765,380039,351280,731319
766,355482,348150,703632
767,365267,360944,726211
768,384660,330481,715141
769,351310,350410,701720
770,355355,344655,700010
771,347824,357926,705750
772,385991,331148,717139
773,374043,348371,722414
774,373299,330871,704170
775,346231,350515,696746
776,351033,351542,702575
777,363387,365093,728480
